barcodes,CD10,CD11b,CD11c,CD123,CD127,CD14,CD141,CD16,CD172a,CD185,CD19,CD192,CD197,CD21,CD24,CD25,CD269,CD27,CD278,CD279,CD3,CD304,CD319,CD38,CD39,CD4,CD40,CD45RA,CD45RO,CD56,CD66b,CD71,CD80,CD86,CD8a,CD95,FceRI,HLA-DR,IgD,IgG1-K-Isotype-Control,IgM,KLRG1,TCR-Va24-Ja18,TCR-Va7.2,TCR-a/b,TCR-g/d
1968533a4f8711eb841542010a19c80f,16,0,8,29,0,6,4,5,5,12,533,6,11,193,167,14,2,4,0,5,15,0,3,229,10,1,78,276,28,10,1,20,2,2,63,20,48,454,134,1,836,17,2,1,15,351
196853c64f8711eb841542010a19c80f,19,3,45,17,1,60,3,5,68,11,624,9,6,57,71,3,5,4,3,4,7,1,0,58,14,7,23,90,26,8,0,11,4,14,11,18,1,206,11,0,7,15,4,0,10,56
196854484f8711eb841542010a19c80f,1,0,0,3,5,6,0,9,9,0,6,4,1,1,13,1,5,6,0,4,74,1,5,2,0,7,1,18,29,39,1,3,2,1,141,45,1,7,1,1,3,238,7,8,5,36
196854984f8711eb841542010a19c80f,1,0,2,1,8,9,3,2,5,0,3,7,9,1,7,2,2,73,11,6,326,0,0,72,0,143,1,197,12,3,0,10,3,0,7,9,1,8,0,1,5,6,3,1,62,29
1968552e4f8711eb841542010a19c80f,4,0,2,1,15,2,5,3,5,1,7,8,7,4,15,1,3,98,24,8,180,3,4,61,0,3,4,188,10,6,0,5,0,1,355,14,0,2,1,0,4,14,2,1,53,36
196855b04f8711eb841542010a19c80f,6,14,1436,129,1,409,13,30,819,1,3,17,8,1,25,0,2,3,1,7,17,2,21,68,22,84,50,28,103,13,16,18,3,536,14,113,7,1560,2,3,32,19,7,0,16,59
1968561e4f8711eb841542010a19c80f,2,0,3,9,0,3,5,3,2,11,556,3,6,110,42,3,1,3,0,3,11,1,1,29,7,4,79,116,7,9,1,68,2,5,18,7,3,381,67,1,84,19,3,0,7,139
196856784f8711eb841542010a19c80f,5,1,2,5,8,2,3,4,6,0,8,5,6,1,13,1,0,31,14,7,304,0,2,25,1,292,3,13,107,3,0,0,4,0,4,52,2,8,0,1,3,8,1,3,56,44
196856fa4f8711eb841542010a19c80f,4,0,2,1,4,3,2,2,7,1,1,4,4,0,13,0,1,8,0,3,32,1,0,10,2,3,6,32,9,7,1,4,2,2,396,4,2,5,0,2,3,12,9,0,23,44
1968577c4f8711eb841542010a19c80f,3,0,3,5,1,2,1,2,1,3,52,8,13,9,18,2,2,5,0,2,7,2,2,18,1,4,10,26,10,8,0,7,7,0,14,3,1,42,3,1,8,22,4,1,16,49
196857cc4f8711eb841542010a19c80f,2,0,7,1,4,10,2,2,3,0,2,11,2,3,10,1,2,35,3,3,38,0,0,76,0,206,1,101,4,2,0,1,4,1,11,9,1,5,0,1,1,12,5,0,14,27
1968584e4f8711eb841542010a19c80f,3,1,1,0,26,6,3,3,3,0,2,27,10,3,15,1,2,52,5,2,350,0,2,106,2,244,8,186,14,8,23,0,3,1,24,17,0,12,1,1,5,10,8,0,115,47
196858da4f8711eb841542010a19c80f,1,0,0,1,8,5,4,6,6,1,2,9,6,1,14,8,3,32,41,13,72,0,3,26,0,193,3,9,164,7,2,23,2,1,10,78,4,21,1,1,6,13,2,0,33,28
1968592a4f8711eb841542010a19c80f,1,4,130,4,0,8,11,1579,37,0,7,3,6,4,17,1,1,3,1,6,13,1,12,278,0,9,2,366,3,122,1,1,3,0,101,14,1,1,1,2,1,14,4,0,10,28
196859b64f8711eb841542010a19c80f,2,0,1,1,3,9,0,4,6,1,6,2,2,3,21,1,3,38,3,4,87,0,0,10,0,166,2,65,12,8,0,0,5,2,8,3,1,5,0,2,3,22,5,0,25,34
