,Unnamed: 0
685,HAT1
686,METAP1D
687,ITGA6-AS1
688,RAPGEF4
689,MAP3K20
690,SCRN3
691,GPR155
692,AC010894.3
693,CHN1
694,AC079305.3
695,AC079305.1
696,AGPS
697,CHROMR
698,PJVK
699,TTN
700,CCDC141
701,SESTD1
702,CWC22
703,LINC01934
704,ITPRID2
705,DNAJC10
706,AC021851.1
707,AC021851.2
708,ZNF804A
709,AC009315.1
710,LINC01473
711,ITGAV
712,ANKAR
713,OSGEPL1-AS1
714,HIBCH
715,AC006460.2
716,NAB1
717,AC006460.1
718,STAT1
719,STAT4
720,AC067945.4
721,HECW2
722,PGAP1
723,AC013264.1
724,ANKRD44-IT1
725,AC011997.1
726,PLCL1
727,FTCDNL1
728,TYW5
729,MAIP1
730,PPIL3
731,AC005037.1
732,CASP10
733,BMPR2
734,FAM117B
735,ICA1L
736,WDR12
737,RAPH1
738,CD28
739,CTLA4
740,ICOS
741,PARD3B
742,AC007383.2
743,ZDBF2
744,ADAM23
745,AC008269.1
746,AC007879.3
747,AC009226.1
748,LINC01857
749,RPE
750,AC093865.1
751,IKZF2
752,LINC01953
753,SPAG16
754,AC068051.1
755,SNHG31
756,SMARCAL1
757,DIRC3
758,AAMP
759,PNKD
760,SLC11A1
761,CTDSP1
762,USP37
763,ZNF142
764,TTLL4
765,CYP27A1
766,NHEJ1
767,ABCB6
768,ATG9A
769,STK16
770,DNAJB2
771,GMPPA
772,CHPF
773,EPHA4
774,SGPP2
775,ACSL3
776,WDFY1
777,RHBDD1
778,AGFG1
779,CCL20
780,PID1
781,AC009950.1
782,AC010149.1
783,PSMD1
784,NMUR1
785,PDE6D
786,TIGD1
787,INPP5D
788,USP40
789,AGAP1
790,SNED1
791,AC005237.1
792,FARP2
793,THAP4
794,LINC01237
795,CHL1
796,AC034195.1
797,SUMF1
798,ITPR1
799,AC018816.1
800,BHLHE40
801,MTMR14
802,OGG1
803,CAMK1
804,IL17RC
805,FANCD2
806,TATDN2
807,GHRL
808,SEC13
809,TAMM41
810,PPARG
811,MKRN2
812,HDAC11
813,SLC6A6
814,NR2C2
815,EAF1
816,EAF1-AS1
817,COLQ
818,HACL1
819,ANKRD28
820,AC090945.1
821,DPH3
822,AC090644.1
823,TBC1D5
824,KCNH8
825,AC061958.1
826,PP2D1
827,KAT2B
828,SGO1-AS1
829,UBE2E2
830,NKIRAS1
831,EOMES
832,CMC1
833,RBMS3
834,OSBPL10
835,OSBPL10-AS1
836,GLB1
837,CRTAP
838,LINC01811
839,MLH1
840,LRRFIP2
841,ACAA1
842,MYD88
843,EXOG
844,SCN11A
845,TTC21A
846,MYRIP
847,ZNF620
848,ULK4
849,TRAK1
850,AC006059.1
851,ANO10
852,ABHD5
853,TCAIM
854,ZKSCAN7-AS1
855,TMEM42
856,CDCP1
857,LARS2
858,LIMD1
859,LIMD1-AS1
860,LZTFL1
861,CCR1
862,NBEAL2
863,KIF9-AS1
864,NME6
865,SHISA5
866,PRKAR2A
867,P4HTM
